nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
google-research/google-research,37383,2018-10-04 18:42:48+00:00,2707,2026-03-03 19:23:32+00:00,0,Jupyter Notebook,29,0,1440,348,0.2417
chatchat-space/Langchain-Chatchat,37379,2023-03-31 12:12:45+00:00,1068,2026-03-03 18:40:00+00:00,0,Python,621,31,4237,4230,0.9983
eugenp/tutorials,37351,2013-04-29 18:26:36+00:00,4691,2026-03-03 09:18:47+00:00,0,Java,13716,0,790,773,0.9785
CorentinTh/it-tools,37339,2020-04-05 11:50:24+00:00,2158,2026-03-03 15:12:31+00:00,0,Vue,493,10,670,218,0.3254
NervJS/taro,37326,2018-04-08 09:32:26+00:00,2886,2026-03-03 16:18:18+00:00,0,TypeScript,3462,207,13110,11492,0.8766
kilimchoi/engineering-blogs,37211,2015-06-13 18:25:17+00:00,3916,2026-03-03 19:16:22+00:00,0,Ruby,681,0,97,75,0.7732
llvm/llvm-project,37202,2016-12-07 09:39:33+00:00,3373,2026-03-03 19:57:47+00:00,0,LLVM,75063,149,92456,64392,0.6965
exacity/deeplearningbook-chinese,37202,2016-12-07 11:46:51+00:00,3373,2026-03-03 18:44:21+00:00,0,TeX,16,7,203,139,0.6847
0voice/interview_internal_reference,37194,2019-06-10 06:54:19+00:00,2458,2026-03-03 13:52:13+00:00,0,Python,35,0,52,19,0.3654
spacedriveapp/spacedrive,37191,2021-09-27 05:09:04+00:00,1618,2026-03-03 19:05:26+00:00,0,Rust,1957,28,530,518,0.9774
vnpy/vnpy,37184,2015-03-02 03:36:58+00:00,4019,2026-03-03 19:11:38+00:00,0,Python,1063,66,2162,2151,0.9949
alibaba/arthas,37117,2018-08-29 17:15:57+00:00,2743,2026-03-03 16:46:14+00:00,0,Java,582,66,2130,1752,0.8225
docker/compose,37095,2013-12-09 11:40:58+00:00,4467,2026-03-03 07:34:09+00:00,0,Go,3752,275,8277,8232,0.9946
paperless-ngx/paperless-ngx,37081,2022-02-12 21:56:52+00:00,1479,2026-03-03 19:25:08+00:00,0,Python,2983,142,2362,2361,0.9996
openai/gym,37068,2016-04-27 14:59:16+00:00,3597,2026-03-03 08:37:46+00:00,0,Python,999,19,1840,1727,0.9386
ManimCommunity/manim,37023,2020-05-19 02:37:13+00:00,2114,2026-03-03 18:08:23+00:00,0,Python,2040,33,1737,1362,0.7841
huiyadanli/RevokeMsgPatcher,37001,2019-07-21 15:12:52+00:00,2417,2026-03-03 18:36:44+00:00,0,C#,12,21,993,945,0.9517
