nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
chatchat-space/Langchain-Chatchat,37421,2023-03-31 12:12:45+00:00,1071,2026-03-06 19:49:30+00:00,0,Python,621,31,4237,4230,0.9983
google-research/google-research,37404,2018-10-04 18:42:48+00:00,2710,2026-03-06 14:48:20+00:00,0,Jupyter Notebook,29,0,1440,348,0.2417
TencentARC/GFPGAN,37392,2021-03-19 06:18:20+00:00,1813,2026-03-06 14:43:39+00:00,0,Python,14,8,509,135,0.2652
CorentinTh/it-tools,37380,2020-04-05 11:50:24+00:00,2161,2026-03-06 19:40:43+00:00,0,Vue,493,10,672,218,0.3244
eugenp/tutorials,37352,2013-04-29 18:26:36+00:00,4694,2026-03-06 18:37:47+00:00,0,Java,13718,0,791,773,0.9772
NervJS/taro,37333,2018-04-08 09:32:26+00:00,2889,2026-03-06 09:18:35+00:00,0,TypeScript,3465,207,13110,11493,0.8767
vnpy/vnpy,37309,2015-03-02 03:36:58+00:00,4022,2026-03-06 20:29:22+00:00,0,Python,1063,66,2163,2151,0.9945
kilimchoi/engineering-blogs,37283,2015-06-13 18:25:17+00:00,3919,2026-03-06 20:37:55+00:00,0,Ruby,681,0,97,75,0.7732
llvm/llvm-project,37248,2016-12-07 09:39:33+00:00,3376,2026-03-06 20:48:47+00:00,0,LLVM,75537,149,92612,64535,0.6968
spacedriveapp/spacedrive,37246,2021-09-27 05:09:04+00:00,1621,2026-03-06 18:53:54+00:00,0,Rust,1957,28,530,518,0.9774
exacity/deeplearningbook-chinese,37204,2016-12-07 11:46:51+00:00,3376,2026-03-06 16:55:05+00:00,0,TeX,16,7,203,139,0.6847
0voice/interview_internal_reference,37197,2019-06-10 06:54:19+00:00,2461,2026-03-06 16:11:47+00:00,0,Python,35,0,52,19,0.3654
paperless-ngx/paperless-ngx,37177,2022-02-12 21:56:52+00:00,1482,2026-03-06 20:36:29+00:00,0,Python,3001,143,2367,2367,1.0
docker/compose,37136,2013-12-09 11:40:58+00:00,4470,2026-03-06 16:38:07+00:00,0,Go,3755,275,8280,8234,0.9944
alibaba/arthas,37127,2018-08-29 17:15:57+00:00,2746,2026-03-06 18:50:42+00:00,0,Java,582,68,2130,1754,0.8235
openai/gym,37078,2016-04-27 14:59:16+00:00,3600,2026-03-06 08:55:26+00:00,0,Python,999,19,1840,1727,0.9386
ManimCommunity/manim,37067,2020-05-19 02:37:13+00:00,2117,2026-03-06 20:31:27+00:00,0,Python,2041,33,1738,1363,0.7842
huiyadanli/RevokeMsgPatcher,37043,2019-07-21 15:12:52+00:00,2420,2026-03-06 16:12:39+00:00,0,C#,12,21,993,945,0.9517
satwikkansal/wtfpython,36912,2017-08-28 20:22:19+00:00,3112,2026-03-06 18:30:14+00:00,0,Python,113,2,224,158,0.7054
AobingJava/JavaFamily,36902,2019-11-12 04:26:18+00:00,2306,2026-03-06 17:20:35+00:00,0,,2,0,66,60,0.9091
babysor/MockingBird,36878,2021-08-07 03:53:39+00:00,1672,2026-03-06 18:58:16+00:00,0,Python,82,1,892,415,0.4652
exelban/stats,36835,2019-05-29 19:24:56+00:00,2473,2026-03-06 19:49:43+00:00,0,Swift,433,321,2458,2433,0.9898
drawdb-io/drawdb,36830,2023-07-16 17:09:20+00:00,964,2026-03-06 20:09:36+00:00,0,JavaScript,351,0,337,215,0.638
inkonchain/docs,36828,2024-05-07 16:49:36+00:00,668,2026-03-06 16:26:09+00:00,0,MDX,407,0,37,13,0.3514
PKUanonym/REKCARC-TSC-UHT,36785,2019-04-05 03:31:23+00:00,2527,2026-03-06 15:07:27+00:00,0,HTML,175,0,34,32,0.9412
inkonchain/node,36779,2024-05-13 23:20:40+00:00,661,2026-03-06 16:26:09+00:00,0,Shell,36,6,26,13,0.5
