nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
Snailclimb/JavaGuide,154057,2018-05-07 13:27:00+00:00,2859,2026-03-06 04:55:33+00:00,0,Java,1213,0,1131,1057,0.9346
DigitalPlatDev/FreeDomain,150868,2024-05-30 13:23:00+00:00,644,2026-03-06 05:18:07+00:00,0,HTML,1,0,0,0,0.0
f/prompts.chat,150253,2022-12-05 13:54:13+00:00,1186,2026-03-06 05:16:01+00:00,0,HTML,200,0,131,128,0.9771
yt-dlp/yt-dlp,149811,2020-10-26 04:22:55+00:00,1957,2026-03-06 05:00:56+00:00,0,Python,3229,131,11124,9305,0.8365
airbnb/javascript,148096,2012-11-01 23:13:50+00:00,4872,2026-03-06 03:52:50+00:00,0,JavaScript,813,0,1401,1299,0.9272
langflow-ai/langflow,145294,2023-02-08 22:28:03+00:00,1121,2026-03-06 05:16:01+00:00,0,Python,5794,285,3160,2819,0.8921
521xueweihan/HelloGitHub,144932,2016-05-04 06:24:11+00:00,3592,2026-03-06 05:18:09+00:00,0,Python,17,63,2963,2681,0.9048
ytdl-org/youtube-dl,139802,2010-10-31 14:35:07+00:00,5604,2026-03-06 04:33:39+00:00,0,Python,1646,341,26819,23190,0.8647
vercel/next.js,138169,2016-10-05 23:32:51+00:00,3438,2026-03-06 03:55:52+00:00,0,JavaScript,26138,1000,24313,22261,0.9156
yangshun/tech-interview-handbook,138005,2016-07-05 05:00:48+00:00,3531,2026-03-06 03:22:13+00:00,0,TypeScript,486,0,120,76,0.6333
Genymobile/scrcpy,136551,2017-11-21 18:00:27+00:00,3026,2026-03-06 05:02:25+00:00,0,C,123,50,5960,3285,0.5512
labuladong/fucking-algorithm,132926,2020-02-19 09:01:23+00:00,2206,2026-03-06 05:09:25+00:00,0,Markdown,244,0,963,962,0.999
golang/go,132905,2014-08-19 04:33:40+00:00,4217,2026-03-06 04:59:05+00:00,0,Go,1,0,70411,60981,0.8661
langgenius/dify,131370,2023-04-12 07:40:24+00:00,1058,2026-03-06 04:46:02+00:00,0,TypeScript,9723,158,16746,16341,0.9758
microsoft/PowerToys,130251,2019-05-01 17:44:02+00:00,2500,2026-03-06 02:13:09+00:00,0,C#,6349,127,38248,30148,0.7882
x1xhlol/system-prompts-and-models-of-ai-tools,128547,2025-03-05 16:38:29+00:00,365,2026-03-06 05:12:17+00:00,0,,46,0,189,108,0.5714
langchain-ai/langchain,128394,2022-10-17 02:58:36+00:00,1236,2026-03-06 05:06:34+00:00,0,Python,16038,1000,9119,8874,0.9731
Chalarangelo/30-seconds-of-code,126956,2017-11-29 17:35:03+00:00,3018,2026-03-06 04:01:25+00:00,0,JavaScript,836,12,300,300,1.0
open-webui/open-webui,125912,2023-10-06 22:08:27+00:00,881,2026-03-06 05:16:07+00:00,0,Python,3314,152,7802,7615,0.976
facebook/react-native,125505,2015-01-09 18:10:16+00:00,4073,2026-03-06 03:55:56+00:00,0,C++,957,444,27579,26830,0.9728
krahets/hello-algo,122689,2022-11-04 11:08:34+00:00,1217,2026-03-06 04:53:46+00:00,0,Java,968,10,282,274,0.9716
kubernetes/kubernetes,120951,2014-06-06 22:56:04+00:00,4290,2026-03-06 05:17:10+00:00,0,Go,64012,784,48631,46784,0.962
electron/electron,120320,2013-04-12 01:47:36+00:00,4711,2026-03-06 05:10:31+00:00,0,C++,24552,1000,21477,20740,0.9657
ripienaar/free-for-dev,118676,2015-03-18 21:06:26+00:00,4005,2026-03-06 05:00:13+00:00,0,HTML,2900,0,0,0,0.0
